CHR_ID,ELEVATION,READ_DATE,DATUM_ADJ
01003300,1224.71,1941/9/25,NGVD 29
01003300,1224.71,1941/9/26,NGVD 29
01003300,1224.71,1941/9/27,NGVD 29
01003300,1224.69,1941/9/28,NGVD 29
01003300,1224.69,1941/9/29,NGVD 29
01003300,1224.69,1941/9/30,NGVD 29
01003300,1224.69,1941/10/1,NGVD 29
01003300,1224.69,1941/10/2,NGVD 29
01003300,1224.67,1941/10/3,NGVD 29
01003300,1224.67,1941/10/4,NGVD 29
01003300,1224.67,1941/10/5,NGVD 29
01003300,1224.67,1941/10/6,NGVD 29
01003300,1224.67,1941/10/7,NGVD 29
01003300,1224.67,1941/10/8,NGVD 29
01003300,1224.67,1941/10/9,NGVD 29
01003300,1224.67,1941/10/10,NGVD 29
01003300,1224.67,1941/10/11,NGVD 29
01003300,1224.67,1941/10/12,NGVD 29
01003300,1224.57,1941/10/13,NGVD 29
01003300,1224.57,1941/10/14,NGVD 29
01003300,1224.57,1941/10/15,NGVD 29
01003300,1224.57,1941/10/16,NGVD 29
01003300,1224.57,1941/10/18,NGVD 29
01003300,1224.57,1941/10/19,NGVD 29
01003300,1224.49,1941/10/20,NGVD 29
01003300,1224.49,1941/10/21,NGVD 29
01003300,1224.49,1941/10/22,NGVD 29
01003300,1224.49,1941/10/23,NGVD 29
01003300,1224.49,1941/10/24,NGVD 29
01003300,1224.49,1941/10/25,NGVD 29
01003300,1224.39,1941/11/2,NGVD 29
01003300,1224.39,1941/11/3,NGVD 29
01003300,1224.37,1941/11/4,NGVD 29
01003300,1224.37,1941/11/5,NGVD 29
01003300,1224.37,1941/11/6,NGVD 29
01003300,1224.37,1941/11/7,NGVD 29
01003300,1224.37,1941/11/8,NGVD 29
01003300,1224.29,1941/11/9,NGVD 29
01003300,1224.29,1941/11/10,NGVD 29
01003300,1224.29,1941/11/11,NGVD 29
01003300,1224.29,1941/11/12,NGVD 29
01003300,1224.29,1941/11/13,NGVD 29
01003300,1224.29,1941/11/14,NGVD 29
01003300,1224.29,1941/11/15,NGVD 29
01003300,1224.29,1941/11/16,NGVD 29
01003300,1224.29,1941/11/17,NGVD 29
01003300,1224.29,1941/11/18,NGVD 29
01003300,1224.29,1941/11/19,NGVD 29
01003300,1224.29,1941/11/20,NGVD 29
01003300,1224.29,1941/11/21,NGVD 29
01003300,1224.29,1941/11/22,NGVD 29
01003300,1224.29,1941/11/23,NGVD 29
01003300,1224.29,1941/11/24,NGVD 29
01003300,1224.29,1941/11/25,NGVD 29
01003300,1224.29,1941/11/26,NGVD 29
01003300,1224.29,1941/11/27,NGVD 29
01003300,1224.29,1941/11/28,NGVD 29
01003300,1224.29,1941/11/29,NGVD 29
01003300,1224.29,1941/11/30,NGVD 29
01003300,1224.29,1941/12/1,NGVD 29
01003300,1224.29,1941/12/2,NGVD 29
01003300,1224.29,1941/12/3,NGVD 29
01003300,1224.29,1941/12/4,NGVD 29
01003300,1224.29,1941/12/5,NGVD 29
01003300,1224.29,1941/12/6,NGVD 29
01003300,1224.29,1941/12/7,NGVD 29
01003300,1224.29,1941/12/8,NGVD 29
01003300,1224.29,1941/12/9,NGVD 29
01003300,1224.29,1941/12/10,NGVD 29
01003300,1224.29,1941/12/11,NGVD 29
01003300,1224.29,1941/12/13,NGVD 29
01003300,1224.29,1941/12/14,NGVD 29
01003300,1224.29,1941/12/15,NGVD 29
01003300,1224.29,1941/12/16,NGVD 29
01003300,1224.29,1941/12/17,NGVD 29
01003300,1224.29,1941/12/18,NGVD 29
01003300,1224.29,1941/12/20,NGVD 29
01003300,1224.29,1941/12/21,NGVD 29
01003300,1224.29,1941/12/22,NGVD 29
01003300,1224.29,1941/12/23,NGVD 29
01003300,1224.29,1941/12/24,NGVD 29
01003300,1224.29,1941/12/26,NGVD 29
01003300,1224.29,1941/12/27,NGVD 29
01003300,1224.29,1941/12/31,NGVD 29
01003300,1224.29,1942/1/1,NGVD 29
01003300,1224.29,1942/1/2,NGVD 29
01003300,1224.29,1942/1/3,NGVD 29
01003300,1224.29,1942/1/4,NGVD 29
01003300,1224.29,1942/1/5,NGVD 29
01003300,1224.29,1942/1/8,NGVD 29
01003300,1224.29,1942/1/9,NGVD 29
01003300,1224.29,1942/1/10,NGVD 29
01003300,1224.29,1942/1/11,NGVD 29
01003300,1224.29,1942/1/12,NGVD 29
01003300,1224.29,1942/1/13,NGVD 29
01003300,1224.29,1942/1/14,NGVD 29
01003300,1224.29,1942/1/15,NGVD 29
01003300,1224.29,1942/1/17,NGVD 29
01003300,1224.29,1942/1/18,NGVD 29
01003300,1224.29,1942/1/19,NGVD 29
01003300,1224.29,1942/1/21,NGVD 29
01003300,1224.29,1942/1/23,NGVD 29
01003300,1224.29,1942/1/24,NGVD 29
01003300,1224.29,1942/1/25,NGVD 29
01003300,1224.29,1942/1/26,NGVD 29
01003300,1224.29,1942/1/28,NGVD 29
01003300,1224.29,1942/1/29,NGVD 29
01003300,1224.29,1942/1/30,NGVD 29
01003300,1224.29,1942/1/31,NGVD 29
01003300,1224.29,1942/2/1,NGVD 29
01003300,1224.29,1942/2/2,NGVD 29
01003300,1224.29,1942/2/3,NGVD 29
01003300,1224.29,1942/2/4,NGVD 29
01003300,1224.29,1942/2/6,NGVD 29
01003300,1224.29,1942/2/7,NGVD 29
01003300,1224.34,1942/2/10,NGVD 29
01003300,1224.31,1942/2/17,NGVD 29
01003300,1224.27,1942/2/24,NGVD 29
01003300,1224.24,1942/2/28,NGVD 29
01003300,1224.21,1942/3/4,NGVD 29
01003300,1224.21,1942/3/11,NGVD 29
01003300,1224.13,1942/3/19,NGVD 29
01003300,1224.11,1942/3/25,NGVD 29
01003300,1224.11,1942/3/31,NGVD 29
01003300,1224.11,1942/4/1,NGVD 29
01003300,1224.13,1942/4/2,NGVD 29
01003300,1224.17,1942/4/3,NGVD 29
01003300,1224.19,1942/4/4,NGVD 29
01003300,1224.19,1942/4/5,NGVD 29
01003300,1224.19,1942/4/6,NGVD 29
01003300,1224.19,1942/4/7,NGVD 29
01003300,1224.19,1942/4/8,NGVD 29
01003300,1224.21,1942/4/9,NGVD 29
01003300,1224.21,1942/4/10,NGVD 29
01003300,1224.22,1942/4/11,NGVD 29
01003300,1224.22,1942/4/12,NGVD 29
01003300,1224.23,1942/4/13,NGVD 29
01003300,1224.25,1942/4/14,NGVD 29
01003300,1224.25,1942/4/15,NGVD 29
01003300,1224.25,1942/4/16,NGVD 29
01003300,1224.25,1942/4/17,NGVD 29
01003300,1224.25,1942/4/18,NGVD 29
01003300,1224.25,1942/4/19,NGVD 29
01003300,1224.25,1942/4/20,NGVD 29
01003300,1224.25,1942/4/21,NGVD 29
01003300,1224.27,1942/4/22,NGVD 29
01003300,1224.27,1942/4/23,NGVD 29
01003300,1224.27,1942/4/24,NGVD 29
01003300,1224.27,1942/4/25,NGVD 29
01003300,1224.33,1942/4/26,NGVD 29
01003300,1224.45,1942/4/27,NGVD 29
01003300,1224.45,1942/4/28,NGVD 29
01003300,1224.45,1942/4/29,NGVD 29
01003300,1224.55,1942/4/30,NGVD 29
01003300,1224.55,1942/5/1,NGVD 29
01003300,1224.55,1942/5/2,NGVD 29
01003300,1224.53,1942/5/3,NGVD 29
01003300,1224.53,1942/5/4,NGVD 29
01003300,1224.53,1942/5/5,NGVD 29
01003300,1224.53,1942/5/6,NGVD 29
01003300,1224.51,1942/5/7,NGVD 29
01003300,1224.51,1942/5/8,NGVD 29
01003300,1224.49,1942/5/9,NGVD 29
01003300,1224.49,1942/5/10,NGVD 29
01003300,1224.49,1942/5/11,NGVD 29
01003300,1224.49,1942/5/12,NGVD 29
01003300,1224.89,1942/5/13,NGVD 29
01003300,1224.81,1942/5/14,NGVD 29
01003300,1224.75,1942/5/15,NGVD 29
01003300,1224.71,1942/5/16,NGVD 29
01003300,1224.69,1942/5/17,NGVD 29
01003300,1224.67,1942/5/18,NGVD 29
01003300,1224.65,1942/5/19,NGVD 29
01003300,1224.65,1942/5/20,NGVD 29
01003300,1224.63,1942/5/21,NGVD 29
01003300,1224.61,1942/5/22,NGVD 29
01003300,1224.59,1942/5/23,NGVD 29
01003300,1224.59,1942/5/24,NGVD 29
01003300,1224.57,1942/5/25,NGVD 29
01003300,1224.57,1942/5/26,NGVD 29
01003300,1224.55,1942/5/27,NGVD 29
01003300,1224.55,1942/5/28,NGVD 29
01003300,1224.55,1942/5/29,NGVD 29
01003300,1224.67,1942/5/30,NGVD 29
01003300,1224.67,1942/5/31,NGVD 29
01003300,1224.67,1942/6/1,NGVD 29
01003300,1224.65,1942/6/2,NGVD 29
01003300,1224.63,1942/6/3,NGVD 29
01003300,1224.59,1942/6/4,NGVD 29
01003300,1224.89,1942/6/5,NGVD 29
01003300,1224.93,1942/6/6,NGVD 29
01003300,1224.88,1942/6/7,NGVD 29
01003300,1224.84,1942/6/8,NGVD 29
01003300,1224.79,1942/6/9,NGVD 29
01003300,1224.77,1942/6/10,NGVD 29
01003300,1224.81,1942/6/11,NGVD 29
01003300,1224.91,1942/6/12,NGVD 29
01003300,1224.90,1942/6/13,NGVD 29
01003300,1224.89,1942/6/14,NGVD 29
01003300,1224.87,1942/6/15,NGVD 29
01003300,1224.87,1942/6/16,NGVD 29
01003300,1224.85,1942/6/17,NGVD 29
01003300,1224.81,1942/6/18,NGVD 29
01003300,1224.77,1942/6/19,NGVD 29
01003300,1224.73,1942/6/20,NGVD 29
01003300,1224.69,1942/6/21,NGVD 29
01003300,1224.67,1942/6/22,NGVD 29
01003300,1224.63,1942/6/23,NGVD 29
01003300,1224.59,1942/6/24,NGVD 29
01003300,1224.55,1942/6/25,NGVD 29
01003300,1224.49,1942/6/26,NGVD 29
01003300,1224.43,1942/6/27,NGVD 29
01003300,1224.51,1942/6/28,NGVD 29
01003300,1224.49,1942/6/29,NGVD 29
01003300,1224.45,1942/6/30,NGVD 29
01003300,1224.41,1942/7/1,NGVD 29
01003300,1224.37,1942/7/2,NGVD 29
01003300,1224.33,1942/7/3,NGVD 29
01003300,1224.29,1942/7/4,NGVD 29
01003300,1224.29,1942/7/7,NGVD 29
01003300,1224.23,1942/7/31,NGVD 29
01003300,1224.23,1942/8/1,NGVD 29
